metric1,metric2,hash-rate,market-price,type,average,timespan,hashrate-unixtimestamp,hashrate[TH/s],price-unixtimestamp,price[USD],hashrate-datetime,price-datetime
,,,,,,,1233878400000.0,5.191409158320988e-06,1233878400000,0.0,2009-02-06,2009-02-06
,,,,,,,1234224000000.0,5.973517400493827e-06,1234224000000,0.0,2009-02-10,2009-02-10
,,,,,,,1234569600000.0,6.079565975703703e-06,1234569600000,0.0,2009-02-14,2009-02-14
,,,,,,,1234915200000.0,6.165730443061728e-06,1234915200000,0.0,2009-02-18,2009-02-18
,,,,,,,1235260800000.0,6.25852294637037e-06,1235260800000,0.0,2009-02-22,2009-02-22
,,,,,,,1235606400000.0,6.043111777975309e-06,1235606400000,0.0,2009-02-26,2009-02-26
,,,,,,,1235952000000.0,6.006657580246913e-06,1235952000000,0.0,2009-03-02,2009-03-02
,,,,,,,1236297600000.0,5.864154807308641e-06,1236297600000,0.0,2009-03-06,2009-03-06
,,,,,,,1236643200000.0,5.789589402864197e-06,1236643200000,0.0,2009-03-10,2009-03-10
,,,,,,,1236988800000.0,5.665313728790123e-06,1236988800000,0.0,2009-03-14,2009-03-14
,,,,,,,1237334400000.0,5.610632432197531e-06,1237334400000,0.0,2009-03-18,2009-03-18
,,,,,,,1237680000000.0,5.5194969378765415e-06,1237680000000,0.0,2009-03-22,2009-03-22
,,,,,,,1238025600000.0,5.489670776098765e-06,1238025600000,0.0,2009-03-26,2009-03-26
,,,,,,,1238371200000.0,5.517839928888888e-06,1238371200000,0.0,2009-03-30,2009-03-30
,,,,,,,1238716800000.0,5.595719351308642e-06,1238716800000,0.0,2009-04-03,2009-04-03
,,,,,,,1239062400000.0,5.643772611950618e-06,1239062400000,0.0,2009-04-07,2009-04-07
